id;pagetitle;published;configuration_id;doors-count;generation;generation_name;is_restyle;mark_id;model_class;model_id;model;car-price
29096;"AUDI RS 3 седан II (8V) Рестайлинг";0;20848686;4;20847894;"II (8V) Рестайлинг";1;AUDI;C;AUDI_RS3;"RS 3";5300000
29097;"AUDI RS 3 хэтчбек 5 дв. II (8V) Рестайлинг";0;20933927;5;20847894;"II (8V) Рестайлинг";1;AUDI;C;AUDI_RS3;"RS 3";3850000
29099;"AUDI RS 5 купе II (F5)";0;20950543;2;20950508;"II (F5)";0;AUDI;D;AUDI_RS5;"RS 5";4870000
29100;"AUDI RS 5 лифтбек II (F5)";0;21558076;5;20950508;"II (F5)";0;AUDI;D;AUDI_RS5;"RS 5";5500000
29102;"AUDI SQ5 внедорожник 5 дв. II (FY)";0;20990536;5;20990497;"II (FY)";0;AUDI;D;AUDI_SQ5;SQ5;3699000
29104;"AUDI SQ7 внедорожник 5 дв. I (4M)";0;20766975;5;20766937;"I (4M)";0;AUDI;E;AUDI_SQ7;SQ7;7900000
29106;"AUDI S5 купе II (F5)";0;20795780;2;20795748;"II (F5)";0;AUDI;D;AUDI_S5;S5;3900000
29107;"AUDI S5 лифтбек II (F5)";0;20841019;5;20795748;"II (F5)";0;AUDI;D;AUDI_S5;S5;3450000
29109;"AUDI A4 седан V (B9)";0;20637561;4;20637504;"V (B9)";0;AUDI;D;AUDI_A4;A4;1322000
29110;"AUDI A4 универсал 5 дв. V (B9)";0;20637615;5;20637504;"V (B9)";0;AUDI;D;AUDI_A4;A4;1857000
29112;"AUDI A4 allroad универсал 5 дв. V (B9)";0;20744599;5;20744561;"V (B9)";0;AUDI;D;AUDI_A4_ALLROAD;"A4 allroad";1898000
29114;"AUDI A5 купе II (F5)";0;20795627;2;20795592;"II (F5)";0;AUDI;D;AUDI_A5;A5;2293000
29115;"AUDI A5 кабриолет II (F5)";0;20867853;2;20795592;"II (F5)";0;AUDI;D;AUDI_A5;A5;3500000
29116;"AUDI A5 лифтбек II (F5)";0;20840967;5;20795592;"II (F5)";0;AUDI;D;AUDI_A5;A5;2210000
29118;"AUDI A6 allroad универсал 5 дв. III (C7) Рестайлинг";0;20246288;5;20246280;"III (C7) Рестайлинг";1;AUDI;E;AUDI_ALLROAD;"A6 allroad";1895000
29120;"AUDI Q5 внедорожник 5 дв. II (FY)";0;20849260;5;20849216;"II (FY)";0;AUDI;D;AUDI_Q5;Q5;2363400
29122;"AUDI Q7 внедорожник 5 дв. II (4M)";0;20368784;5;20368749;"II (4M)";0;AUDI;E;AUDI_Q7;Q7;2700000
29124;"AUDI RS 4 универсал 5 дв. IV (B9)";0;21093276;5;21093247;"IV (B9)";0;AUDI;D;AUDI_RS4;"RS 4";7390000
29126;"AUDI TT купе III (8S)";0;20176905;2;20176878;"III (8S)";0;AUDI;S;AUDI_TT;TT;2850000
29129;"BMW M5 седан VI (F90)";0;21073941;4;21073904;"VI (F90)";0;BMW;E;BMW_M5;M5;4615000
29131;"BMW X3 внедорожник 5 дв. III (G01)";0;21029647;5;21029610;"III (G01)";0;BMW;D;BMW_X3;X3;2649000
